Season,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
2024,"Brady Basso","OAK",1,1,0,7,4,22.1,7.65671652689573,2.014925401814666,1.2089552410887994,0.30303030303030304,0.75630252,0.420289855,0.111111111,92.31164625214367,4.029850803629332,,3.8828976989350097,3.9645795046345476,0.3415468707680702,"Brady Basso",25582,669620
2022,"Alex Faedo","DET",1,5,0,12,12,53.2,7.3788823372447485,4.192546782525425,1.1739130991071192,0.33532934131736525,0.69444444,0.312138728,0.092105263,92.80758015219561,5.534161752933562,,4.621747843372361,5.022519440640322,0.34136882424354553,"Alex Faedo",19874,656412
2020,"Kolby Allard","TEX",0,6,0,11,8,33.2,8.554455607092368,5.346534754432731,1.069306950886546,0.28421052631578947,0.49568966,0.326530612,0.085106382,91.69359473932802,7.752475393927459,,4.706270829094075,5.853674029443613,0.3411211408674717,"Kolby Allard",18694,663465
2024,"Burch Smith","- - -",4,1,0,50,0,56.1,7.349113836061999,1.9171601311466084,0.9585800655733042,0.3314285714285714,0.63218391,0.438202247,0.092307692,95.11741420200893,4.952663672128739,,3.663521293772249,4.023531062331743,0.3394497483968735,"Burch Smith",12784,572143
2024,"Yuki Matsui","SDP",4,2,0,64,0,62.2,9.909576679906307,3.8776604399633374,1.1489364266558038,0.24836601307189543,0.74433657,0.385093167,0.109589041,92.21439268187066,3.7340433866313623,,3.9164799456901114,4.018234441607012,0.33939847350120544,"Yuki Matsui",33826,673513
2024,"T.J. McFarland","OAK",2,4,0,79,0,56.2,6.194120426905206,2.7000012117279106,0.6352944027595083,0.28654970760233917,0.67251462,0.573099415,0.1,,3.81176641655705,,3.819421247792623,3.9690743075823076,0.33921000361442566,"T.J. McFarland",3237,519008
2021,"Héctor Santiago","SEA",1,1,0,13,1,26.1,10.253165052059755,3.7594938524219104,0.6835443368039837,0.33783783783783783,0.79545455,0.447368421,0.068965517,91.07494231503844,3.4177216840199187,,3.132059437089042,4.087749420113035,0.33902253955602646,"Hector Santiago",4026,502327
2023,"Brandon Pfaadt","ARI",3,9,0,19,18,96,8.812500700354631,2.437500193715111,2.062500163912786,0.31521739130434784,0.69962687,0.323232323,0.167938931,93.63049666130202,5.718750454485453,,5.1821238459812395,4.45909336943104,0.3371661305427551,"Brandon Pfaadt",27782,694297
2018,"Pat Neshek","PHI",3,2,5,30,0,24.1,5.54794636513621,1.8493154550454032,0.7397261820181613,0.26582278481012656,0.75396825,0.379746835,0.055555555,,2.5890416370635645,,3.6124864647862456,4.987478952149928,0.33693936467170715,"Pat Neshek",4682,450212
2023,"Bryse Wilson","MIL",6,0,3,53,0,76.2,7.160870515358371,2.58260903832597,1.0565218793151696,0.2318181818181818,0.81232493,0.377777777,0.091836734,93.71152750651042,2.58260903832597,,4.128953518930606,4.716281491040007,0.3365751802921295,"Bryse Wilson",19990,669060
2022,"Mike Baumann","BAL",1,3,0,13,4,34.1,6.029126939298113,2.35922358494274,0.78640786164758,0.35714285714285715,0.70281124,0.508771929,0.083333333,96.0739993772645,4.71844716988548,,3.86971264621273,4.286022362608935,0.33655381202697754,"Mike Baumann",20206,657508
2021,"Jose Quintana","- - -",0,3,0,29,10,63,12.142858797190366,5.000000681196033,1.7142859478386399,0.3780487804878049,0.64377682,0.465517241,0.214285714,91.62257370496857,6.4285723043948995,,4.662097817808079,3.7542291082314816,0.3363446146249771,"Jose Quintana",11423,500779
