Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
2020,"Kurt Suzuki","WSN",33,129,2,15,17,1,0.085271317,0.147286821,0.126126126,0.301075268,0.27027027,0.348837209,0.396396396,0.3264671721199686,,101.82198391139245,-1.5244855689816177,-1.2241838999832675,-0.8252604901790619,0.14553057940485623,"Kurt Suzuki",8259,435559
2018,"Brandon Guyer","CLE",104,221,7,25,27,1,0.067873303,0.21719457,0.164948453,0.237410071,0.206185567,0.3,0.37113402,0.2979562133550644,,83.47696406875964,0.7822639085352421,-3.583052983099577,-2.54388377815485,0.1453606231312241,"Brandon Guyer",2636,446386
2024,"Matt Duffy","TEX",4,10,0,2,0,0,0.2,0.1,0,0.333333333,0.285714285,0.5,0.285714285,0.3861874878406525,,155.4602356832135,0.048572003841400146,0.6831533741824325,0.3894960433244705,0.14520896968799185,"Matt Duffy",13836,622110
2019,"Tony Gonsolin","LAD",11,14,0,2,1,0,0,0.285714285,0,0.444444444,0.307692307,0.307692307,0.307692307,0.2675714676196759,,64.07958305661322,-0.011209950316697359,-0.6747009993668538,1.721177577972412,0.14499244770664405,"Tony Gonsolin",19388,664062
2023,"Greg Allen","NYY",22,28,1,6,1,3,0.071428571,0.357142857,0.260869565,0.333333333,0.217391304,0.333333333,0.478260869,0.34909676180945504,,122.7199612614239,0.1416995022445917,0.9039508416740304,-0.412604957818985,0.14490687682981673,"Greg Allen",16623,656185
2022,"Kyle Stowers","BAL",34,98,3,11,11,0,0.051020408,0.295918367,0.164835165,0.33898305,0.252747252,0.306122448,0.417582417,0.3163791882748507,,108.64946700518455,-0.004543152637779713,0.9493127360592712,-2.668709635734558,0.14490614947229025,"Kyle Stowers",26151,669065
2022,"Tommy Pham","BOS",53,235,6,32,24,1,0.059574468,0.285106382,0.140186916,0.309859154,0.233644859,0.29787234,0.373831775,0.29709212982908206,,86.66447229984296,-0.3691935297101736,-3.8957058973985554,-2.1573867946863174,0.14483089496926002,"Tommy Pham",2967,502054
2021,"Ryan Weathers","SDP",32,28,1,3,1,0,0.035714285,0.25,0.111111111,0.157894736,0.148148148,0.178571428,0.259259259,0.19055003992148808,,19.833414778173527,-0.028141452930867672,-2.8857231795392697,3.3862738609313965,0.14438571840340944,"Ryan Weathers",23796,677960
2024,"Jo Adell","LAA",130,451,20,54,62,15,0.077605321,0.279379157,0.195061728,0.244274809,0.207407407,0.28,0.402469135,0.2959931448998058,,90.22635102211024,-3.0342775732278824,-8.077857254837394,-5.560871094465256,0.14413371316688328,"Jo Adell",20220,666176
2023,"Spencer Horwitz","TOR",15,44,1,5,7,0,0.09090909,0.272727272,0.128205128,0.346153846,0.256410256,0.34090909,0.384615384,0.3222498040307652,,105.4588288122376,-0.15770318545401096,0.13009279891427278,-0.19730287790298462,0.1440154103091123,"Spencer Horwitz",26477,687462
2018,"Bobby Wilson","MIN",47,151,2,12,16,0,0.079470198,0.245033112,0.103703704,0.224489795,0.177777777,0.241610738,0.281481481,0.2324002773169703,,40.68688048031013,-1.657337433192879,-12.364178800849968,8.611843809485435,0.14398862105931498,"Bobby Wilson",6564,435064
2021,"Connor Wong","BOS",6,14,0,3,1,0,0.071428571,0.5,0.230769231,0.666666666,0.307692307,0.357142857,0.538461538,0.37567515884126934,,134.28143269082005,-0.03237392078153789,0.5552359141029204,0.3993704169988632,0.14381383221865612,"Connor Wong",19896,657136
